Код пред­прия­тия,Название пред­прия­тия,Краткое название пред­прия­тия
2387,"Общество с ограниченной ответственностью ""Кнорр-Бремзе 1520""","ООО ""Кнорр-Бремзе 1520"""
2388,"Открытое акционерное общество ""Кузнечно-прессовое производство""","ОАО ""КПП"""
2389,"Общество с ограниченной ответственностью ""ТЕХНОЛИТ-ПРОМ""","ООО ""ТЕХНОЛИТ-ПРОМ"""
2390,"Общество с ограниченной ответственностью ""Сибирь ПутьМаш""","ООО ""Сибирь ПутьМаш"""
2391,"Общество с ограниченной ответственностью ""Канашский вагоностроительный завод""","ООО ""КАВАЗ"""
2392,"Общество с ограниченной ответственностью ""Ремонт железнодорожного транспорта""","ООО ""Ремжелдортранс"""
2393,"Общество с ограниченной ответственностью Промышленно-торговая компания ""Экотайз""","ООО ПТК ""Экотайз"""
2394,"Акционерное общество ""Угольная компания ""Северный Кузбасс""","АО ""Угольная компания ""Северный Кузбасс"""
2395,"Общество с ограниченной ответственностью предприятие ""Промтрансвагон""","ООО предприятие ""Промтрансвагон"""
2396,"Обособленное структурное подразделение гор. Вологда Общества с ограниченной ответственностью ""Краски Балтики""","ОСП гор. Вологда ООО ""Краски Балтики"""
2397,"Общество с ограниченной ответственностью ""Русский завод автосцепных устройств""","ООО ""РЗАУ"""
2398,"Общество с ограниченной ответственностью ""ЦентрУслугТранспорт""","ООО ""ЦентрУслугТранспорт"""
2399,"Общество с ограниченной ответственностью ""Сибэлектропривод""","ООО ""Сибэлектропривод"""
2400,"Общество с ограниченной ответственностью ""УралПневмоИнжиниринг""","ООО ""УралПневмоИнжиниринг"""
2401,"Акционерное общество ""Отделение временной эксплуатации""","АО ""ОВЭ"""
2402,"Общество с ограниченной ответственностью ""Челябинский компрессорный завод""","ООО ""Челябинский компрессорный завод"""
2403,"Общество с ограниченной ответственностью ""Эталон-Деталь""","ООО ""Эталон-Деталь"""
2404,"Товарищество с ограниченной ответственностью ""АЛЛPROF""","ТОО ""АЛЛPROF """
2405,"Общество с ограниченной ответственностью ""Кристалл-Плюс""","ООО ""Кристалл-Плюс"""
2406,"Общество с ограниченной ответственностью ""Диск""","ООО ""Диск"""
2407,"Товарищество с ограниченной ответственностью ""ТМЗ Сервис Казахстан""","ТОО ""ТМЗ Сервис Казахстан"""
2408,"Общество с ограниченной ответственностью ""Инжиниринг Сервис – Путьмаш""","ООО ""Инжиниринг Сервис – Путьмаш"""
2409,"Обособленное подразделение ОАО ""ТВЗ"" в городе Торжок","ОП ОАО ""ТВЗ"""
2410,"Общество с ограниченной ответственностью ""Научно-Производственная компания ""Импульс""","ООО ""НПК ""Импульс"""
2411,"Вагонное ремонтное депо ООО ""РЕИЛГО"" Общества с ограниченной ответственностью ООО ""РЕИЛГО""","ВРД ООО ""РЕИЛГО"""
2412,"Общество с ограниченной ответственностью ""Кузница""","ООО ""Кузница"""
2413,"Общество с ограниченной ответственностью ""Промтранс-А""","ООО ""Промтранс-А"""
2414,"Акционерное общество ""Петербургский тракторный завод""","АО ""Петербургский тракторный завод"""
2415,"Общество с ограниченной ответственностью ""ГрандТехСервис""","ООО ""ГрандТехСервис"""
2416,"""МЕТРОВАГОНМАШ СПб"" - филиал акционерного общества ""МЕТРОВАГОНМАШ""","""МЕТРОВАГОНМАШ СПб"""
2417,Путевая машинная станция ПМС-114 – структурное подразделение Северной дирекции по ремонту пути - структурного подразделения Центральной Дирекции по ремонту пути – филиала открытого акционерного общест,ПМС-114
2418,"Колесно-роликовый участок станции Киренга эксплуатационного вагонного депо Северобайкальск – СП Восточно-Сибирской дирекции инфраструктуры – СП Центральной дирекции инфраструктуры - филиала ОАО ""РЖД""",КРУ станции Киренга ВЧДЭ-12 Северобайкальск
2419,"Общество с ограниченной ответственностью ""Техтранс""","ООО ""Техтранс"""
2420,"Общества с ограниченной ответственностью ""Тула-Тепловоз""","ООО ""ТТ"""
2421,"Акционерное общество ""Разрез Березовский""","АО ""Разрез Березовский"""
2422,"Путевая машинная станция ПМС-110 – структурное подразделение Северной дирекции по ремонту пути - структурного подразделения Центральной Дирекции по ремонту пути – филиала ОАО ""РЖД""","ПМС-110 ОАО ""РЖД"""
2423,"Обособленное подразделение ""Мичуринск"" Сервисное отделение ""Грязи Воронежские"" Общества с ограниченной ответственностью ""Милорем-Сервис""","ОП ""Мичуринск"""
2424,"Общество с ограниченной ответственностью ""Вагонно-колесная мастерская Завязовская""","ООО ""ВКМ Завязовская"""
2425,"""Сексеулское локомотиворемонтное депо"" - филиал ТОО ""Камкор локомотив""",Сексеулское ЛРД
2426,"Общество с ограниченной ответственностью ""Си Беринг Сервис""","ООО ""Си Беринг Сервис"""
2427,"Общество с ограниченной ответственностью ""ГрандТехСервис""","ООО ""ГрандТехСервис"""
2428,"Товарищество с ограниченной ответственностью ""Деповской сервис""","ТОО "" Деповской сервис"""
2429,"Общество с ограниченной ответственностью ""ДДАП-РАКС""","ООО ""ДДАП-РАКС"""
2430,"Общество с ограниченной ответственностью ""АЗОВСКАЯСТАЛЕПЛАВИЛЬНАЯ КОМПАНИЯ""","ООО ""АЗОВСКАЯСТАЛЕПЛАВИЛЬНАЯ КОМПАНИЯ"""
2431,"Акционерное общество ""Анжеро-Судженское погрузочно-транспортное управление""","АО ""Анжеро-Судженское ПТУ"""
2432,"Общество с ограниченной ответственностью ""Профессионально-технический сервис""","ООО ""Профтехсервис"""
2433,"Алтайская механизированная дистанция инфраструктуры–СП Уральской дирекции по эксплуатации путевых машин–СП Дирекции по эксплуатации путевых машин-СП Центральной дирекции инфраструктуры–ОАО ""РЖД""","ПЧМ Алтай - ОАО ""РЖД"""
2434,"Локомотивное депо Гомель РУП ""Гомельское отделение Белорусской железной дороги""",ТЧ-Гомель
2435,"Акционерное общество ""Комбинат КМАруда""","АО ""Комбинат КМАруда"""
2436,"Акционерное общество ""Строймаш""","АО ""Строймаш"""
2437,"Общество с ограниченной ответственностью ""Объединенная строительная компания 1520""","ООО ""ОСК 1520"""
2438,"Общество с ограниченной ответственностью ""Укрнефтезапчасть""","ООО ""Укрнефтезапчасть"""
2439,"Общество с ограниченной ответственностью ""ПОЛТАВВАГОН""","ООО ""ПОЛТАВВАГОН"""
2440,"Общество с ограниченной ответственностью ""ЭКСПРЕСС ПРУЖИНЫ""","ООО ""ЭКСПРЕСС ПРУЖИНЫ"""
2441,"Акционерное общество ""Казанское межотраслевое предприятие промышленного железнодорожного транспорта""","АО КМП ""Промжелдортранс"""
2442,"Акционерное общество ""Челябинский электрометаллургический комбинат""","ООО ""ЧЭМК"""
2443,"Акционерное общество ""Михайловский ГОК имени Андрея Владимировича Варичева""","АО ""Михайловский ГОК им. А.В. Варичева"""
2444,"Путевая машинная станции № 262 - структурного подразделения Северной дирекции по ремонту пути – структурного подразделения Центральной дирекции по ремонту пути - филиала ОАО ""РЖД""","ПМС № 262 СЕВДРП ОАО ""РЖД"""
2445,"Путевая машинная станция № 101 – структурное подразделение Московской дирекции по ремонту пути – структурного подразделения Центральной дирекции по ремонту пути – филиала ОАО ""РЖД""",ПМС № 101
2446,"Общество с ограниченной ответственностью ""Фойт Турбо""","ООО ""Фойт Турбо"""
2447,"Акционерное общество ""Разрез Тугнуйский""","АО ""Разрез Тугнуйский"""
2448,"Общество с ограниченной ответственностью ""ТранспортноТехническийТраст""","ООО ""ТТТ"""
2449,"Ремонтно-сервисный участок Вязьма Общества с ограниченной ответственностью ""МашИнКо""","РСУ Вязьма ООО ""МашИнКо"""
2450,"Ремонтно-сервисный участок Киров (ст. Фаянсовая) Общества с ограниченной ответственностью ""МашИнКо""","РСУ Фаянсовая ООО ""МашИнКо"""
2451,"Общество с ограниченной ответственностью ""Арсенал-НТ""","ООО ""Арсенал-НТ"""
2452,"Ремонтно-сервисный участок Брянск-Льговский Общества с ограниченной ответственностью ""МашИнКо""","РСУ Брянск ООО ""МашИнКо"""
2453,"Общество с ограниченной ответственностью ""Менделеевсказот""","ООО ""Менделеевсказот"""
2454,"Путевая машинная станция № 104 -структурное подразделение Московской дирекции по ремонту пути - структурного подразделения Центральной дирекции по ремонту пути - филиала ОАО ""РЖД""","ПМС № 104 ОАО ""РЖД"""
2455,"Обособленное структурное подразделение ""Апатиты"" Общества с ограниченной ответственностью ""Вагонный Ремонтный Сервисный Центр""","ОСП ""Апатиты"" ООО ""ВРС Центр"""
2456,"Обособленное производственное подразделение цеха текущего отцепочного ремонта ""Оленегорск"" - ОСП ""Апатиты"" Общества с ограниченной ответственностью ""Вагонный Ремонтный Сервисный Центр""","ОПП цех ТОР ""Оленегорск"" ОСП ""Апатиты"""
2457,"Общество с ограниченной ответственностью ""Третий пружинный завод""","ООО ""ТПЗ"""
2458,"Ремонтно-сервисный участок Челябинск ООО ""МашИнКо""","РСУ Челябинск ООО ""МашИнКо"""
2459,"Путевая машинная станция № 173 структурного подразделения Южно-Уральской дирекции по ремонту пути - структурного подразделения Центральной Дирекции по ремонту пути - филиала ОАО ""РЖД""","ПМС № 173 ОАО ""РЖД"""
2460,"Ремонтно-сервисный участок Предпортовая Общества с ограниченной ответственностью ""Инжиниринг Сервис - Путьмаш""","РСУ Предпортовая ООО ""Инжиниринг Сервис - Путьмаш"""
2461,"Ремонтно-сервисный участок Базаиха ООО ""ИНТЭК ГРУПП""","РСУ Базаиха ООО ""ИНТЭК ГРУПП"""
2462,"Общество с ограниченной ответственностью ""Компания Экотранс""","ООО ""Компания Экотранс"""
2463,"Вагонный участок Петрозаводск – структурное подразделение Северо - Западного филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧ-4 Петрозаводск АО ""ФПК"""
2464,"Ремонтно-сервисный участок Ишим общества с ограниченной ответственностью ""МашИнКо""","РСУ Ишим ООО ""МашИнКо"""
2465,"Ремонтно-сервисный участок Чернореченская Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""",РСУ Чернореченская
2466,"Вагонное депо Днепродзержинск ООО ""Лемтранс""","ВЧД Днепродзержинск ООО ""Лемтранс"""
2467,"Ремонтно-сервисный участок Чита ООО ""ИНТЭК ГРУПП""","РСУ Чита ООО ""ИНТЭК ГРУПП"""
2468,"Товарищество с ограниченной ответственностью ""REM-ZHOL.KZ""","ТОО ""REM-ZHOL.KZ"""
2469,"Ремонтно-сервисный участок Новочеркасск Общества с ограниченной ответственностью ""Инжиниринг Сервис - Путьмаш""","РСУ Новочеркасск ООО ""Инжиниринг Сервис - Путьмаш"""
2470,"Ремонтно-сервисный центр Екатеринбург ООО ""МашИнКо""",РСЦ Екатеринбург
2471,"Ремонтно-сервисный участок Иркутск-Сортировочный Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ Иркутск-Сортировочный ООО ""ИНТЭК ГРУПП"""
2472,"Ремонтно-сервисный участок Тосно Общества с ограниченной ответственностью ""Инжиниринг Сервис - Путьмаш""","РСУ Тосно ООО ""Инжиниринг Сервис - Путьмаш"""
2473,"Ремонтно-сервисный участок Бикин Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ Бикин ООО ""ИНТЭК ГРУПП"""
2474,"Ремонтно-сервисный участок Красноярск Общество с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ КрасноярскООО ""ИНТЭК ГРУПП"""
2475,"Ремонтно-сервисный центр Аткарск –Общества с ограниченной ответственностью ""Инжиниринг Сервис-Путьмаш""","РСЦ Аткарск – ООО ""Инжиниринг Сервис-Путьмаш"""
2476,"Ремонтно-сервисный Центр Тихорецк Общества с ограниченной ответственностью ""Инжиниринг Сервис - Путьмаш""","РСЦ Тихорецк ООО ""Инжиниринг Сервис - Путьмаш"""
2477,"Ремонтно-сервисный центр г. Воронеж общества с ограниченной ответственностью ""Инжиниринг Сервис-Путьмаш""","РСЦ Воронеж ООО ""Инжиниринг Сервис-Путьмаш"""
2478,"Ремонтно-сервисный участок Облучье Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ Облучье ООО ""ИНТЭК ГРУПП"""
2479,"Товарищество с ограниченной ответственностью ""REM-ZHOL.KZ""","ТОО ""REM-ZHOL.KZ"""
2480,"Филиал товарищества с ограниченной ответственностью ""Ремвагон"" в городе Костанай""","Филиал ТОО "" Ремвагон"" г.Костанай"
2481,"Филиал товарищества с ограниченной ответственностью ""Ремвагон"" в городе Кульсары""","Филиал ТОО "" Ремвагон"" г.Кульсары"
2482,"Общество с ограниченной ответственностью ""АИК""","ООО ""АИК"""
2483,"Ремонтно-сервисный участок Тында Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ Тында ООО ""ИНТЭК ГРУПП"""
2484,"Общество с ограниченной ответственностью ""ПРЕМИОРИ""","ООО ""ПРЕМИОРИ"""
2485,"Ремонтно-сервисный участок Новоалександровка Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ Новоалександровка ООО ""ИНТЭК ГРУПП"""
2486,"Филиал ""Patentеs Talgo S.L."" в Р.К.","Филиал ""Patentеs Talgo S.L."" в Р.К."
2487,"Ремонтно-сервисный участок Рубцовск ООО ""МашИнКо""","РСУ Рубцовск ООО ""МашИнКо"""
2488,"Ремонтно-сервисный участок Топки ООО ""МашИнКо""","РСУ Топки ООО ""МашИнКо"""
2489,"Ремонтно-сервисный участок Кунгур Общества с ограниченной ответственностью ""МашИнКо","РСУ Кунгур ООО ""МашИнКо"
2490,"Ремонтно-сервисный участок Черепаново Общество с ограниченной ответственностью ""МашИнКо""","РСУ Черепаново ООО ""МашИнКо"""
2491,"Общество с ограниченной ответственностью ""Транспортно-экспедиционная компания ""Мереть""","ООО ""ТЭК ""Мереть"""
2492,"Общество с ограниченной ответственностью ""Редукторремсервис""","ООО ""РРС"""
2493,"Участок по текущему ремонту вагонов и колесных пар Прокопьевск вагонного ремонтного депо Ленинск-Кузнецкий – ОСП акционерного общества ""Вагонная ремонтная компания-1""","ПТОР Прокопьевск ВЧДР Ленинск-Кузнецкий АО ""ВРК-1"""
2494,"Общество с ограниченной ответственностью фирма ""ЭталонСтрой-НН""","ООО ""ЭталонСтрой-НН"""
2495,"Ремонтно-сервисного участку Завитая Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ Завитая ООО ""ИНТЭК ГРУПП"""
2496,"Общество с ограниченной ответственностью ""ЕвроХим – Усольский калийный комбинат""","ООО ""ЕвроХим – Усольский калийный комбинат"""
2497,"Общество с ограниченной ответственностью ""Пасифик Лоджистик""","ООО ""ПЛ"""
2498,"Общество с ограниченной ответственностью ""Научно-nроизводственное объединение ""Трансремонт""","ООО ""НПО ""Трансремонт"""
2499,"Уральский участок Западного филиала по ремонту пассажирских вагонов акционерного общества ""Вагонсервис""",ЛВЧР-1
2500,"Товарищество с ограниченной ответственностью ""QSP Industry""","ТОО ""QSP Industry"""
2501,"Локомотивное депо Жлобин РУП ""Гомельское отделение Белорусской железной дороги""",ТЧ-Жлобин
2502,"Ремонтно-сервисный участок Юктали Общества с ограниченной ответственностью ""ИНТЭК ГРУПП""","РСУ Юктали ООО ""ИНТЭК ГРУПП"""
2503,"Общество с ограниченной ответственностью ""Железнодорожная транспортно-экспедиторская компания""","ООО ""ЖТЭК"""
2504,"филиал товарищества с ограниченной ответственностью ""Камкор Локомотив""-""Актобинское локомотиворемонтное депо""",Актобинское ЛРД
2505,"филиал товарищества с ограниченной ответственностью ""Камкор Локомотив""-""Сервисный центр Шалкар""",СЦ Шалкар
2506,"филиал товарищества с ограниченной ответственностью ""Камкор Локомотив""-""Сервисный центр Макат""",СЦ Макат
2507,"Общество с ограниченной ответственностью ""МАГИСТРАЛЬ""","ООО ""МАГИСТРАЛЬ"""
2508,"Акционерное общество ""Новомосковская акционерная компания ""Азот""","АО ""НАК ""Азот"""""
2509,"Производственный участок ст. Кувандык ПЧМ Челябинск - СП Уральской дирекции по эксплуатации путевых машин - СП Дирекции по эксплуатации путевых машин - СП ЦДИ - филиала ОАО ""РЖД""","ПУ Кувандык ПЧМ Челябинск ОАО ""РЖД"""
2510,"Вагонно – колесная мастерская в г. Благовещенск – обособленное подразделения Общества с ограниченной ответственностью ""ТРАНС-ПЕТРОЛ-СЕРВИС""","ВКМ ООО ""ТРАНС-ПЕТРОЛ-СЕРВИС"""
2511,"Прессовый участок ВКМ вагонного ремонтного депо Егоршино – обособленного структурного подразделения акционерного общества ""ОМК Стальной путь""","ВКМ – ВЧДр Егоршино – ОСП АО ""ОМК Стальной путь"""
2512,"Акционерное общество ""Северо-Западный промышленный железнодорожный транспорт""","АО ""Северо-Западный ""Промжелдортранс"""
2513,"Общество с ограниченной ответственностью ""Промышленно-коммерческий центр ""Промжелдортранс""","ООО ""ПКЦ ""Промжелдортранс"""
2514,"Общество с ограниченной ответственностью ""СЕРВИСНАЯ ГРУЗОВАЯ КОМПАНИЯ""","ООО ""СГК"""
2515,"Общество с ограниченной ответственностью ""Беловский промышленный железнодорожный транспорт""","ООО ""Беловопромжелдортранс"""
2516,"Вагоноколесная мастерская Златоуст вагонного ремонтного депо Златоуст – обособленного структурного подразделения Акционерного общества ""ОМК Стальной путь""","ВКМ ""Златоуст"" ОСП АО ""ОМК Стальной путь"""
2517,"Общество с ограниченной ответственностью """"Желдорсервис""","ООО ""Желдорсервис"""
2518,"Вагонный участок Махачкала – структурное подразделение Северо - Кавказского филиала акционерного общества ""Федеральная пассажирская компания""","ЛВЧ-5 Махачкала АО ""ФПК"""
2519,"Вагонный участк Грозный - структурного подразделения Северо-Кавказского филиала акционерного общества ""Федеральная пассажирская компания""",ЛВЧ Грозный
4000,"Общество с ограниченной ответственностью ""УралХим-Транс"" в городе Березники","ООО ""УралХим-Транс"" в г. Березники"
4001,"Вагонное хозяйство акционерное общество ""Эстонская железная дорога""","АО ""Эстонская ж.д."""
4002,Пункт текущего отцепочного ремонта вагонов ст. Гардабани,ПТОР Гардабани
4003,"ГАО ""Латвияс дзелзцельш"" структурное подразделение ""Рижский эксплуатационный участок""",Рижский ЭУ
4004,Пункт текущего отцепочного ремонта вагонов ст. Рустави,ПТОР Рустави
4005,Пункт текущего отцепочного ремонта вагонов ст. Тбилиси-Сортировочная,ПТОР Тбилиси-Сортировочная
4006,Пункт текущего отцепочного ремонта вагонов ст. Тбилиси-Узловая,ПТОР Тбилиси-Узловая
4007,Пункт текущего отцепочного ремонта вагонов ст. Садахло,ПТОР Садахло
4008,Пункт текущего отцепочного ремонта вагонов ст. Хашури,ПТОР Хашури
4009,Пункт текущего отцепочного ремонта вагонов ст. Самтредиа,ПТОР Самтредиа
4010,"Дистанция обслуживания вагонов ГАО ""Латвияс дзелзцельш""","""ВД"""
4011,Цех текущего отцепочного ремонта вагонов ст. Поти,ЦТОР Поти
4012,Цех текущего отцепочного ремонта вагонов ст. Батуми,ЦТОР Батуми
4013,"Общество с ограниченной ответственностью ""РемТрансСервис""","ООО ""РемТрансСервис"""
4014,"Вагонное (эксплуатационное) депо закрытого акционерного общества транспортной компании ""ЛУКойл-Транс""","ЗАО ТК ""ЛУКойл-Транс""-ВЧДЭ"
4015,"Общество с ограниченной ответственностью ""Вагонное депо Балохонцы""","ООО ""Вагонное депо Балохонцы"""
4016,"Центр транспортного сервиса ""Лиски""","""Лиски"""
4017,"Вагонное (эксплуатационное) депо открытого акционерного общества ""Архбум""","ОАО ""Архбум""-ВЧДЭ"
4018,"Филиал №1 открытого акционерного общества ""Восток-Сибпромтранс""","Ф. №1 ""В-Сибпромтранс"""
4019,"Филиал №2 открытого акционерного общества ""Восток-Сибпромтранс""","Ф. №2 ""В-Сибпромтранс"""
4020,"Эксплуатационное вагонное депо Круглое Поле-структурное подразделение Куйбышевской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-16 Круглое поле ОАО ""РЖД"""
4021,Промывочно-пропарочная станция Кагамлыкская,ППС Кагамлыкская
4022,"Открытое акционерное общество ""Нижнекамскнефтехим""","ОАО ""Нижнекамскнефтехим"""
4023,"Открытое акционерное общество ""ЭКЗА""","ОАО ""ЭКЗА"""
4024,Промывочно-пропарочная станция Осенцы,ППС Осенцы
4025,"Тернопольский рефрижераторный вагонный участок центра ""Укррефтранс""",Тернополь-ВЧРЕФ
4026,"Фастовское рефрижераторное отделение филиала ""Рефрижераторная вагонная компания"" публичного акционерного общества ""Украинская железная дорога""","Фастов-ВЧРЕФ Филиал ""РВК"" ПАО УЗ"
4027,"Участок текущего отцепочного ремонта закрытого акционерного общества ""Вагоноремонтный завод"" г.Стерлитамак","Участок ТОР ЗАО ""ВРЗ"""
4028,"Пункт технического ремонта грузовых вагонов Вайдотай Вагоноремонтное депо ЗАО ""Вильнюсское локомотивное ремонтное депо""",ТОР Вайдотай
4029,"Пункт технического ремонта грузовых вагонов Палемонас Вагоноремонтное депо ЗАО ""Вильнюсское локомотивное ремонтное депо""",ТОР Палемонас
4030,"Подразделение по подготовке поездов Департамента оперативного управления Дирекции по грузовым перевозкам АО ""Литовские железные дороги""","ТП Дирекции по грузовым перевозкам АО ""Литовские железные дороги"""
4031,Пункт текущего ремонта грузовых вагонов Клайпеда вагонное депо Радвилишкис,ТОР Клайпеда
4032,"Пункт технического ремонта грузовых вагонов Драугисте Вагоноремонтное депо ЗАО ""Вильнюсское локомотивное ремонтное депо""",ТОР Драугисте
4033,"Пункт технического ремонта грузовых вагонов Бугяняй Вагоноремонтное депо ЗАО ""Вильнюсское локомотивное ремонтное депо""",ТОР Бугяняй
4034,"Общество с ограниченной ответственностью ""Сибирская Вагоноремонтная Компания"" Кузнецкий филиал","ООО ""Сиб. Ваг-рем. Комп."" Кузнецкий фил."
4035,Уральское эксплуатационное вагонное депо,ВЧД-3 Уральск
4036,Кандыагашское эксплуатационное вагонное депо,ВЧД-4 Кандыагаш
4037,Казалинское эксплуатационное вагонное депо,ВЧД-6 Казалинск
4038,"Общество с ограниченной ответственностью Вагонное эксплуатационное ремонтное предприятие ""Восток"" обособленное структурное подразделение № 1","ООО ВЭРП ""Восток"" ОСП № 1"
4039,"Промывочно-пропарочная станция Самарского филиала Акционерного общества ""Первая грузовая компания""","ППС Самарского филиала АО ""ПГК"""
4040,Балхашское эксплуатационное вагонное депо,ВЧД-14 Балхаш
4041,"Промывочно-пропарочная станция Екатеринбургского филиала Акционерного общества ""Первая грузовая компания""","ППС Екатеринбургского филиала АО ""ПГК"""
4042,Костанайское эксплуатационное вагонное депо,ВЧД-19 Костанай
4043,Семипалатинское эксплуатационное вагонное депо,ВЧД-23 Семипалатинск
4044,Аягозское эксплуатационное вагонное депо,ВЧД-24 Аягоз
4045,Джамбульское эксплуатационное вагонное депо,ВЧД-27 Джамбул
4046,Арысское эксплуатационное вагонное депо,ВЧД-30 Арысь
4047,"Филиал Акционерного общества ""Национальная компания ""Казахстан темир жолы"" - ""Достыкское эксплуатационное вагонное депо""",ВЧД-26
4048,Курорт-Боровское эксплуатационное вагонное депо,ВЧД-34 Курорт-Боровое
4049,"Товарищество с ограниченной ответственностью ""Ертыс Сервис""","ТОО ""Ертыс Сервис"""
4050,"Товарищество с ограниченной ответственностью ""Казыкурт-Юг""","ТОО ""Казыкурт-Юг"""
4051,"Товарищество с ограниченной ответственностью ""Batys Petroleum""","ТОО ""Batys Petroleum"""
4052,"Эксплуатационное вагонное депо Пенза-структурное подразделение Куйбышевской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-2 Пенза ОАО ""РЖД"""
4053,"Эксплуатационное вагонное депо Октябрьск-структурное подразделение Куйбышевской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-6 Октябрьск ОАО ""РЖД"""
4054,"Эксплуатационное вагонное депо Дема-структурное подразделение Куйбышевской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-13 Дема ОАО ""РЖД"""
4055,"Эксплуатационное вагонное депо Кинель-структурное подразделение Куйбышевской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-17 Кинель ОАО ""РЖД"""
4056,Пункт технического обслуживания Поти,РТО Поти
4057,Пункт технического обслуживания Тбилиси-Узловая,РТО Тбилиси-Узловая
4058,Пункт технического обслуживания Тбилиси-Сортировочная,РТО Тбилиси-Сортировочная
4059,Пункт технического обслуживания Рустави,РТО Рустави
4060,Пункт технического обслуживания Гардабани,РТО Гардабани
4061,Пункт технического обслуживания Хашури,РТО Хашури
4062,Пункт технического обслуживания Каспи,ПТО Каспи
4063,Пункт технического обслуживания Батуми,РТО Батуми
4064,Пункт технического обслуживания Самтредиа,РТО Самтредиа
4065,Пункт технического обслуживания Кутаиси,РТО Кутаиси
4066,Пункт технического обслуживания Ткибули,РТО Ткибули
4067,Пункт технического обслуживания Зестафони,РТО Зестафони
4068,Пункт технического обслуживания Чиатура,РТО Чиатура
4069,Пункт технического обслуживания Тбилиси-Товарная,РТО Тбилиси-Товарная
4070,Пункт технического обслуживания Марабда,РТО Марабда
4071,Пункт технического обслуживания Тетри-Цкаро,РТО Тетри-Цкаро
4072,Пункт технического обслуживания Цалка,РТО Цалка
4073,Пункт технического обслуживания Ахалкалаки,РТО Ахалкалаки
4074,Пункт технического обслуживания Садахло,РТО Садахло
4075,Пункт технического обслуживания Боржоми,РТО Боржоми
4076,"Эксплуатационное вагонное депо Белогорск-структурное подразделение Забайкальской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-7 Белогорск ОАО ""РЖД"""
4077,"Эксплуатационное вагонное депо Карымская-структурное подразделение Забайкальской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-3 Карымская ОАО ""РЖД"""
4078,"Эксплуатационное вагонное депо Могоча-структурное подразделение Забайкальской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-6 Могоча ОАО ""РЖД"""
4079,"Эксплуатационное вагонное депо Красноярск-Восточный-структурное подразделение Красноярской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-7 Красноярск-Восточный ОАО ""РЖД"""
4080,"Эксплуатационное вагонное депо Абакан-структурное подразделение Красноярской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-8 Абакан ОАО ""РЖД"""
4081,"Эксплуатационное вагонное депо Валуйки-структурное подразделение Юго-Восточной дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-4 Валуйки ОАО ""РЖД"""
4082,"Эксплуатационное вагонное депо Стойленская-структурное подразделение Юго-Восточной дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-3 Стойленская ОАО ""РЖД"""
4083,"Эксплуатационное вагонное депо Ртищево-структурное подразделение Юго-Восточной дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-1 Ртищево ОАО ""РЖД"""
4084,"Эксплуатационное вагонное депо Кочетовка-структурное подразделение Юго-Восточной дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ-6 Кочетовка ОАО ""РЖД"""
