Код пред­прия­тия,Название пред­прия­тия,Краткое название пред­прия­тия
151,Новосибирский ремонтно-механический завод,Новосибирский РМЗ
152,Лубненские мастерские,Лубненские мастерские
154,Ташкентский ремонтно-механический завод,Ташкентский РМЗ
156,"Открытое акционерное общество ""Пушкинский путевой ремонтно-механический завод""",Пушкинский ПРМЗ
158,"Акционерное общество ""Людиновский тепловозостроительный завод""","АО ""Людиновский ""ЛТЗ"""
159,Петровский локомотиворемонтный завод г.Донецк (Минуглепром),Петровский ЛРЗ
160,Московский электромеханический ремонтный завод,МЭМРЗ
163,"Рефрижераторное эксплуатационное вагонное депо Уссурийск-филиал ОАО ""Рефсервис""",Уссурийск ВЧД реф.
165,Грязе-Орловский мотовозоремонтный завод,Грязе-Орловский МРЗ
167,Обьединённые мастерские Киевского метропролитена,ОМ Киевского метро
168,"Сервисное локомотивное депо ""Лиски"" филиала ""Южный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","Депо ""Лиски"" ООО ""ЛокоТех-Сервис"""
174,"Общество ограниченной ответственности ""Вагоностроительная компания""","ООО ""Вагоностроительная компания"""
178,Криворожский локомотиворемонтный завод,Криворожский ЛРЗ
179,"Открытое акционерное общество ""Абаканвагонмаш""","ОАО ""Абаканвагонмаш"""
180,"Закрытое акционерное общество ""Железногорский вагоноремонтный завод""","ЗАО ""Железногорский ВРЗ"""
186,"Акционерное общество ""Даугавпилсский локомотиворемонтный завод""","АО ""Даугавпилсский ЛРЗ"""
189,"Сервисное локомотивное депо ""Унеча"" филиала ""Московский"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Унеча ООО ""ЛокоТех-Сервис"""
190,"Сервисное локомотивное депо ""Инская"" филиала ""Западно-Сибирский"" Общества с ограниченной ответственностью ""ТМХ-Сервис""","СЛД ""Инская"" филиала ""Западно-Сибирский"" ООО ""ТМХ-Сервис"""
192,"Производственный участок ""Троицк"" сервисного локомотивного депо ""Аркаим"" общества с ограниченной ответственностью ""СТМ-Сервис""","ПУ ""Троицк"" ООО ""СТМ-Сервис"""
194,"Астанинское локомотиворемонтное депо-филиал ""Камкор Локомотив""",Астанинское ЛРД
195,"Таразское локомотиворемонтное депо-филиал ТОО ""Камкор Локомотив""",Таразское ЛРД
200,Южно-Сахалинский тепловозоремонтный завод,Южно-Сахалинский ТВРЗ
201,"Сервисное локомотивное депо ""Московка"" общества с ограниченной ответственностью ""СТМ-Сервис""","Депо ""Московка"" ООО ""СТМ-Сервис"""
205,Екатеринбургский путевой ремонтный завод,Екатеринбург ПРЗ
209,"Новосибирский электровозоремонтный завод - филиал Акционерного общества ""Желдорреммаш""","Новосибирский ЭРЗ АО ""Желдорреммаш"""
210,"Екатеринбургский электровозоремонтный завод - филиал Акционерного общества ""Желдорреммаш""","Екатеринбургский ЭРЗ - АО""Желдорреммаш"""
212,"Сервисное локомотивное депо ""Магдагачи"" филиала ""Дальневосточный"" общества с ограниченной ответственностью ""ТМХ-Сервис""","СЛД ""Магдагачи"" ООО ""ТМХ-Сервис"""
